"name","mean_degree","mean_betweenness","n_individual_projects","unique_partners","first_year","last_year","n_buildings","объект.культурного.наследия.регионального.значения","выявленный.объект.культурного.наследия","объект.культурного.наследия.федерального.значения","total","full_name","birth","death","birth_year","leningrad_authors_n_mentions","leningrad_authors_normalized_score","leningrad_authors_mean_order","leningrad_discussed_mentions","leningrad_discussed_normalized_score","leningrad_discussed_mean_order","studio1936","studio_head1936","board_member1940","board_member1945","constr_birth","year_checked","pre_revolution","constructivist","age_1917","age_1940","degree1940","betweenness1940"
"Друкер А. В.",0.540540540540541,0,6,2,1884,1911,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1844,"no",1,0,73,96,NA,NA
"Шестаков С. О.",0.540540540540541,0,6,2,1890,1917,2,0,0,0,0,"Шестаков Сергей Николаевич","1830","04.02.1882",1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1830,"yes",1,0,87,110,NA,NA
"Потапов В. А.",0.566037735849057,0,3,3,1910,1953,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1872,"no",1,1,45,68,NA,NA
"Гоголицын А. П.",0.588235294117647,0,NA,2,1914,1938,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874,"no",1,1,43,66,1,0
"Левенштерн Э. К.",0.606060606060606,0,NA,1,1891,1914,NA,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850,"no",1,0,67,90,NA,NA
"Соколов А. М.",0.606060606060606,0,NA,2,1932,1955,2,1,0,0,1,NA,NA,NA,NA,3,0.19,4.67,NA,NA,NA,NA,NA,NA,1,1900,"no",0,1,17,40,1,0
"Калиновский Е. П.",0.606060606060606,0,1,1,1891,1914,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850,"no",1,0,67,90,NA,NA
"Миритц Ф. Ф.",0.621621621621622,0,1,1,1881,1908,6,0,8,0,8,"Миритц Федор Федорович","1863","1916",1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863,"yes",1,0,54,77,NA,NA
"Вейс В. К.",0.645161290322581,0,7,2,1887,1908,2,0,0,0,0,"Вейс Василий Константинович","1862","1930",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862,"yes",1,0,55,78,NA,NA
"Шестов П. И.",0.652173913043478,0.267441860465116,2,3,1881,1917,3,0,0,0,0,"Шестов Петр Иванович","1847","1914",1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1847,"yes",1,0,70,93,NA,NA
"Ланге М. Ф.",0.689655172413793,0,8,2,1885,1904,2,0,0,0,0,"Ланге Модест Фердинандович","1861","1913",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1861,"yes",1,0,56,79,NA,NA
"Монтандр Н. Ф.",0.697674418604651,0,1,3,1882,1915,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1842,"no",1,0,75,98,NA,NA
"Барановский Г. В.",0.731707317073171,0,7,3,1884,1915,5,0,0,1,1,"Барановский Гавриил Васильевич","06.04.1860","28.06.1920",1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860,"yes",1,0,57,80,NA,NA
